signup_month,TotalAccounts,Churned,AvgTenure,AvgMRR,TotalMRR,AvgCLV,AvgEngagement,Retained,ChurnRate_pct,RetentionRate_pct,MRRLost
2023-01,17,4,38.72,1977.4,312351,55068.92,56.76,13,23.53,76.47,54598
2023-02,18,7,38.0,1885.58,330669,48407.82,55.2,11,38.89,61.11,149749
2023-03,20,5,37.5,2284.26,440295,59042.29,56.93,15,25.0,75.0,126454
2023-04,15,3,36.91,1507.78,236889,38715.26,61.49,12,20.0,80.0,50668
2023-05,26,7,36.26,2019.66,607673,52109.52,64.88,19,26.92,73.08,133682
2023-06,13,3,34.79,1659.21,227153,44304.92,60.12,10,23.08,76.92,57673
2023-07,14,3,33.83,1709.96,261291,41799.38,64.93,11,21.43,78.57,39676
2023-08,16,3,32.94,2542.46,382008,59463.07,57.85,13,18.75,81.25,66718
2023-09,23,5,31.39,2606.14,645372,62279.04,60.15,18,21.74,78.26,93862
2023-10,20,7,30.88,2022.66,401835,44877.11,55.81,13,35.0,65.0,102316
2023-11,25,7,30.22,1891.18,504012,44519.11,59.37,18,28.0,72.0,118247
2023-12,20,4,28.99,2379.59,462996,54024.36,55.38,16,20.0,80.0,119651
2024-01,16,3,28.58,2834.42,559987,61505.61,62.68,13,18.75,81.25,59712
2024-02,13,4,27.89,2168.12,278653,46183.56,55.68,9,30.77,69.23,74056
2024-03,27,4,26.88,2206.5,622748,47856.83,60.66,23,14.81,85.19,149378
2024-04,22,5,25.75,2515.47,526137,49584.39,57.24,17,22.73,77.27,75531
2024-05,22,4,24.66,2581.24,533279,52646.58,56.21,18,18.18,81.82,122526
2024-06,21,6,24.11,1919.53,433691,37817.15,62.92,15,28.57,71.43,159609
2024-07,26,3,23.04,2706.87,674429,52068.17,56.9,23,11.54,88.46,51046
2024-08,21,2,22.09,1890.27,417372,35434.0,56.99,19,9.52,90.48,51028
2024-09,25,9,21.32,2340.42,602902,42862.17,59.75,16,36.0,64.0,254554
2024-10,31,7,20.12,2854.07,772139,49157.27,54.6,24,22.58,77.42,161736
2024-11,32,4,19.35,2492.21,721333,41579.27,55.62,28,12.5,87.5,58975
2024-12,17,1,18.49,2347.27,383533,39283.73,53.96,16,5.88,94.12,23800
