account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial_x,is_churned,total_subscriptions,churned_subscriptions,total_mrr,avg_mrr,total_arr,max_tenure_months,avg_tenure_months,has_upgraded,has_downgraded,is_trial_y,auto_renew_count,sub_churn_rate,total_usage_events,total_usage_count,total_usage_duration,avg_usage_duration,total_errors,unique_features_used,beta_feature_usage,engagement_score,total_tickets,escalated_tickets,avg_resolution_hours,avg_first_response_mins,avg_satisfaction,urgent_tickets,escalation_rate,TenureGroup,signup_month,signup_year,signup_quarter,RevenueTier,EngagementTier,CLV,HighRisk
A-2e4581,Company_0,Edtech,US,2024-10-16,partner,Basic,9,False,False,10,0,12603,1260.3,151236,20.4,19.39,True,False,True,8,0.0,55,535,152339,2769.8,37,27,4,59.15,2.0,0.0,23.0,91.0,3.5,1.0,0.0,13-24 Months,2024-10,2024,2024Q4,Medium,Medium,24437.22,0
A-43a9e3,Company_1,Fintech,IN,2023-08-17,other,Basic,18,False,True,8,0,10004,1250.5,120048,33.6,29.1625,True,False,False,6,0.0,35,355,101136,2889.6,14,23,2,45.61,3.0,0.0,38.0,73.33,4.0,2.0,0.0,24+ Months,2023-08,2023,2023Q3,Low,Low,36467.71,0
A-0a282f,Company_2,Devtools,US,2024-08-27,organic,Basic,1,False,False,15,3,18286,1219.0666666666666,219432,20.9,16.2,True,True,True,15,0.2,83,821,251210,3026.626506024096,48,34,5,81.48,3.0,0.0,43.67,63.67,4.67,1.0,0.0,13-24 Months,2024-08,2024,2024Q3,Medium,High,19748.88,0
A-1f0ac7,Company_3,Healthtech,UK,2023-08-27,other,Basic,24,True,False,7,0,9275,1325.0,111300,31.1,24.842857142857145,True,False,True,5,0.0,41,382,102528,2500.682926829268,21,26,5,50.64,2.0,0.0,29.0,174.0,4.0,0.0,0.0,24+ Months,2023-08,2023,2023Q3,Low,Medium,32916.79,0
A-ce550d,Company_4,Healthtech,US,2024-10-27,event,Enterprise,35,False,True,9,2,48761,5417.888888888889,585132,20.1,15.122222222222222,True,False,True,6,0.222,58,579,215779,3720.3275862068967,31,32,4,67.49,7.0,1.0,42.29,107.86,3.86,2.0,0.14,13-24 Months,2024-10,2024,2024Q4,Very High,Medium,81930.52,0
A-1b9609,Company_5,Edtech,IN,2023-10-12,ads,Enterprise,4,False,False,11,1,16810,1528.1818181818182,201720,31.2,24.245454545454546,False,False,True,9,0.091,47,457,140541,2990.2340425531916,21,28,6,56.7,4.0,0.0,43.0,74.75,3.75,1.0,0.0,24+ Months,2023-10,2023,2023Q4,Medium,Medium,37051.46,0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,9,0,16633,1848.111111111111,199596,27.7,22.755555555555556,False,False,True,8,0.0,39,373,116964,2999.076923076923,14,26,3,50.21,6.0,3.0,39.17,89.83,3.83,0.0,0.5,24+ Months,2024-03,2024,2024Q1,Medium,Medium,42054.8,0
A-e5d6ab,Company_7,Edtech,US,2023-04-15,partner,Pro,3,False,False,10,1,13048,1304.8,156576,38.0,26.560000000000002,False,False,True,9,0.1,41,382,111506,2719.6585365853657,23,29,5,54.39,3.0,0.0,42.67,57.0,4.0,0.0,0.0,24+ Months,2023-04,2023,2023Q2,Medium,Medium,34655.49,0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,10,0,23057,2305.7,276684,21.7,20.0,True,False,True,7,0.0,48,472,145429,3029.7708333333335,28,27,5,56.16,4.0,0.0,32.5,75.25,3.75,1.0,0.0,13-24 Months,2024-09,2024,2024Q3,High,Medium,46114.0,0
A-10b8da,Company_9,Devtools,US,2023-05-08,partner,Enterprise,14,False,True,6,1,8787,1464.5,105444,37.0,23.883333333333336,True,False,True,4,0.167,27,257,73818,2734.0,14,23,2,40.95,3.0,0.0,31.33,71.33,3.67,0.0,0.0,24+ Months,2023-05,2023,2023Q2,Low,Low,34977.14,0
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,19,3,32571,1714.2631578947369,390852,21.2,16.742105263157896,True,True,True,15,0.158,101,1053,326283,3230.5247524752476,54,38,13,97.5,3.0,0.0,32.67,80.67,4.33,0.0,0.0,13-24 Months,2024-09,2024,2024Q3,Very High,High,28700.37,0
A-d40bf7,Company_11,Fintech,IN,2024-11-08,organic,Basic,59,False,False,10,0,43247,4324.7,518964,19.7,18.720000000000002,True,False,True,6,0.0,55,562,150186,2730.6545454545453,22,29,5,62.94,2.0,0.0,20.5,125.5,5.0,2.0,0.0,13-24 Months,2024-11,2024,2024Q4,Very High,Medium,80958.38,0
A-6c093d,Company_12,Devtools,US,2023-04-14,partner,Basic,7,True,False,12,3,16242,1353.5,194904,38.4,21.708333333333332,True,False,True,10,0.25,64,670,217275,3394.921875,30,30,10,69.31,3.0,1.0,40.33,68.33,4.33,0.0,0.33,24+ Months,2023-04,2023,2023Q2,Medium,Medium,29382.23,0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,12,2,23432,1952.6666666666667,281184,28.7,21.608333333333334,True,True,True,10,0.167,69,642,159561,2312.478260869565,26,34,8,72.98,4.0,0.0,26.75,95.0,4.0,1.0,0.0,24+ Months,2024-01,2024,2024Q1,High,Medium,42193.87,0
A-956988,Company_14,Edtech,UK,2024-11-30,ads,Enterprise,1,False,False,13,1,29407,2262.076923076923,352884,19.0,17.192307692307693,False,True,True,10,0.077,70,658,173232,2474.7428571428572,49,32,8,71.24,2.0,0.0,50.5,118.0,3.5,1.0,0.0,13-24 Months,2024-11,2024,2024Q4,Very High,Medium,38890.32,0
A-ac14bb,Company_15,Fintech,US,2023-09-08,partner,Enterprise,21,False,False,8,2,27746,3468.25,332952,33.4,23.2375,True,False,True,7,0.25,54,531,170826,3163.4444444444443,42,31,7,63.96,2.0,0.0,24.5,30.5,4.0,0.0,0.0,24+ Months,2023-09,2023,2023Q3,High,Medium,80593.46,0
A-463db0,Company_16,Healthtech,US,2024-12-05,partner,Basic,15,False,False,7,0,13266,1895.142857142857,159192,18.7,18.357142857142858,False,False,False,5,0.0,37,367,106259,2871.864864864865,13,25,3,48.68,6.0,1.0,50.17,94.83,4.17,1.0,0.17,13-24 Months,2024-12,2024,2024Q4,Medium,Low,34789.41,0
A-ce66f8,Company_17,Edtech,CA,2023-08-23,event,Pro,29,False,False,6,0,11858,1976.3333333333333,142296,34.5,26.066666666666666,False,False,False,6,0.0,46,494,133559,2903.4565217391305,19,29,6,59.71,6.0,0.0,41.67,79.17,3.83,2.0,0.0,24+ Months,2023-08,2023,2023Q3,Low,Medium,51516.42,0
A-c4ea60,Company_18,Fintech,DE,2023-03-09,other,Enterprise,18,False,True,9,0,14646,1627.3333333333333,175752,39.0,25.744444444444444,False,True,True,7,0.0,43,427,137244,3191.720930232558,18,28,9,55.28,5.0,0.0,36.0,59.0,3.6,1.0,0.0,24+ Months,2023-03,2023,2023Q1,Medium,Medium,41894.79,0
A-832ec2,Company_19,Fintech,UK,2023-11-19,event,Enterprise,4,True,False,8,0,9299,1162.375,111588,30.1,25.475,True,False,True,3,0.0,49,511,157711,3218.591836734694,25,31,6,63.01,3.0,1.0,26.0,108.67,4.0,0.0,0.33,24+ Months,2023-11,2023,2023Q4,Low,Medium,29611.5,0
A-684255,Company_20,Fintech,US,2024-04-14,ads,Enterprise,9,False,False,14,3,11844,846.0,142128,26.7,18.37857142857143,True,True,True,9,0.214,66,653,191849,2906.8030303030305,44,34,15,73.51,4.0,1.0,14.25,97.75,4.5,1.0,0.25,24+ Months,2024-04,2024,2024Q2,Low,Medium,15548.27,0
A-c42f1f,Company_21,Healthtech,US,2024-07-28,other,Pro,8,False,False,8,1,5175,646.875,62100,23.2,17.8,True,True,False,6,0.125,35,337,98383,2810.942857142857,19,24,5,46.0,9.0,1.0,31.33,81.89,4.0,1.0,0.11,13-24 Months,2024-07,2024,2024Q3,Low,Low,11514.38,0
A-4e44e8,Company_22,Devtools,US,2024-08-20,ads,Enterprise,3,False,True,14,2,36445,2603.214285714286,437340,22.3,17.935714285714287,True,False,True,11,0.143,69,687,208387,3020.1014492753625,37,32,8,72.62,3.0,0.0,31.33,76.67,3.33,1.0,0.0,13-24 Months,2024-08,2024,2024Q3,Very High,Medium,46690.51,0
A-30b4ca,Company_23,Edtech,IN,2024-05-20,organic,Basic,86,False,True,8,0,75938,9492.25,911256,25.4,23.775,False,False,True,7,0.0,42,402,127433,3034.1190476190477,22,28,10,54.09,3.0,0.0,57.67,108.33,4.0,0.0,0.0,24+ Months,2024-05,2024,2024Q2,Very High,Medium,225678.24,0
